subclass_id,level,spells,source,version
SUB_SORCERER_DRACONIC,9,"Legend Lore, Summon Dragon",PHB (2024),2024
SUB_SORCERER_ABERRANT,3,"Arms of Hadar, Calm Emotions, Detect Thoughts, Dissonant Whispers, Mind Sliver",PHB (2024),2024
SUB_SORCERER_ABERRANT,5,"Hunger of Hadar, Sending",PHB (2024),2024
SUB_SORCERER_ABERRANT,7,"Evard's Black Tentacles, Summon Aberration",PHB (2024),2024
SUB_SORCERER_ABERRANT,9,"Rary's Telepathic Bond, Telekinesis",PHB (2024),2024
SUB_SORCERER_CLOCKWORK,3,"Aid, Alarm, Lesser Restoration, Protection from Evil and Good",PHB (2024),2024
SUB_SORCERER_CLOCKWORK,5,"Dispel Magic, Protection from Energy",PHB (2024),2024
SUB_SORCERER_CLOCKWORK,7,"Freedom of Movement, Summon Construct",PHB (2024),2024
SUB_SORCERER_CLOCKWORK,9,"Greater Restoration, Wall of Force",PHB (2024),2024
SUB_WARLOCK_FIEND,3,"Burning Hands, Command, Scorching Ray, Suggestion",PHB (2024),2024
SUB_WARLOCK_FIEND,5,"Fireball, Stinking Cloud",PHB (2024),2024
SUB_WARLOCK_FIEND,7,"Fire Shield, Wall of Fire",PHB (2024),2024
SUB_WARLOCK_FIEND,9,"Geas, Insect Plague",PHB (2024),2024
SUB_WARLOCK_ARCHFEY,3,"Calm Emotions, Faerie Fire, Misty Step, Phantasmal Force, Sleep",PHB (2024),2024
SUB_WARLOCK_ARCHFEY,5,"Blink, Plant Growth",PHB (2024),2024
SUB_WARLOCK_ARCHFEY,7,"Dominate Beast, Greater Invisibility",PHB (2024),2024
SUB_WARLOCK_ARCHFEY,9,"Dominate Person, Seeming",PHB (2024),2024
SUB_WARLOCK_CELESTIAL,3,"Aid, Cure Wounds, Guiding Bolt, Lesser Restoration, Light, Sacred Flame",PHB (2024),2024
SUB_WARLOCK_CELESTIAL,5,"Daylight, Revivify",PHB (2024),2024
SUB_WARLOCK_CELESTIAL,7,"Guardian of Faith, Wall of Fire",PHB (2024),2024
SUB_WARLOCK_CELESTIAL,9,"Greater Restoration, Summon Celestial",PHB (2024),2024
SUB_WARLOCK_GREAT_OLD_ONE,3,"Detect Thoughts, Dissonant Whispers, Phantasmal Force, Tasha's Hideous Laughter",PHB (2024),2024
SUB_WARLOCK_GREAT_OLD_ONE,5,"Clairvoyance, Hunger of Hadar",PHB (2024),2024
SUB_WARLOCK_GREAT_OLD_ONE,7,"Confusion, Summon Aberration",PHB (2024),2024
SUB_WARLOCK_GREAT_OLD_ONE,9,"Modify Memory, Telekinesis",PHB (2024),2024
SUB_DRUID_MOON,3,"Cure Wounds, Moonbeam, Starry Wisp",PHB (2024),2024
SUB_DRUID_MOON,5,"Conjure Animals",PHB (2024),2024
SUB_DRUID_MOON,7,"Fount of Moonlight",PHB (2024),2024
SUB_DRUID_MOON,9,"Mass Cure Wounds",PHB (2024),2024
SUB_DRUID_SEA,3,"Fog Cloud, Gust of Wind, Ray of Frost, Shatter, Thunderwave",PHB (2024),2024
SUB_DRUID_SEA,5,"Lightning Bolt, Water Breathing",PHB (2024),2024
SUB_DRUID_SEA,7,"Control Water, Ice Storm",PHB (2024),2024
SUB_DRUID_SEA,9,"Conjure Elemental, Hold Monster",PHB (2024),2024
SUB_RANGER_FEY_WANDERER,3,"Charm Person",PHB (2024),2024
SUB_RANGER_FEY_WANDERER,5,"Misty Step",PHB (2024),2024
SUB_RANGER_FEY_WANDERER,9,"Summon Fey",PHB (2024),2024
SUB_RANGER_FEY_WANDERER,13,"Dimension Door",PHB (2024),2024
SUB_RANGER_FEY_WANDERER,17,"Mislead",PHB (2024),2024
SUB_RANGER_GLOOM_STALKER,3,"Disguise Self",PHB (2024),2024
SUB_RANGER_GLOOM_STALKER,5,"Rope Trick",PHB (2024),2024
SUB_RANGER_GLOOM_STALKER,9,"Fear",PHB (2024),2024
SUB_RANGER_GLOOM_STALKER,13,"Greater Invisibility",PHB (2024),2024
SUB_RANGER_GLOOM_STALKER,17,"Seeming",PHB (2024),2024
